Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (�)
Department of Health,NHS Barnsley CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,21823854,"(386,839.00)"
Department of Health,NHS Barnsley CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,21823857,"(27,106.00)"
Department of Health,NHS Barnsley CCG,30/04/2018,Clinical&Medical-Serv Recd-F Trsts,INTERMEDIATE CARE,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,21742889,"1,052,831.00 "
Department of Health,NHS Barnsley CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-CQUIN,COMMUNITY SERVICES,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,21742891,"50,633.00 "
Department of Health,NHS Barnsley CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,21742891,"3,748,855.00 "
Department of Health,NHS Barnsley CCG,30/04/2018,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - OTHER,SOUTH YORKSHIRE EATING DISORDERS ASSOCIATION,21709011,"30,000.00 "
Department of Health,NHS Barnsley CCG,30/04/2018,Clinical&Medical-Commercial Sector,NCAS/OATS,SPAMEDICA LTD,21870206,"61,364.11 "
Department of Health,NHS Barnsley CCG,30/04/2018,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,TURNING POINT,21669920,"78,951.84 "
Department of Health,NHS Barnsley CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,21655908,"70,849.75 "
Department of Health,NHS Barnsley CCG,30/04/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,21655908,319.38 
Department of Health,NHS Barnsley CCG,30/04/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,21655908,"17,485.37 "
Department of Health,NHS Barnsley CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,21655908,"6,630.90 "
Department of Health,NHS Barnsley CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,21658234,"41,124.25 "
Department of Health,NHS Barnsley CCG,30/04/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,21658234,"1,107.86 "
Department of Health,NHS Barnsley CCG,30/04/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,21658234,"28,500.00 "
Department of Health,NHS Barnsley CCG,30/04/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,21658234,"1,470.00 "
Department of Health,NHS Barnsley CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,21658234,"4,023.78 "
Department of Health,NHS Barnsley CCG,30/04/2018,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,21669887,"627,034.00 "
Department of Health,NHS Barnsley CCG,30/04/2018,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,21669888,"55,687.00 "
Department of Health,NHS Barnsley CCG,30/04/2018,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,21669889,"129,241.20 "
Department of Health,NHS Barnsley CCG,31/05/2018,Prescribing Incentives,COMMISSIONING SCHEMES,ASHVILLE MEDICAL PRACTICE,22116092,"65,772.30"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104811,"26,055.54"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104811,"1,310.42"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104811,448.00
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104811,"2,327.36"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104813,"31,459.83"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104813,"2,150.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104813,"7,057.88"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104813,492.00
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104813,"2,420.56"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104815,"27,654.67"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104815,6.56
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104815,"6,200.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104815,"1,748.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22104815,"2,727.89"
Department of Health,NHS Barnsley CCG,31/05/2018,Clinical&Medical-Commercial Sector,OUT OF HOURS,BARNSLEY HEALTHCARE FEDERATION,22350124,"168,851.73"
Department of Health,NHS Barnsley CCG,31/05/2018,Miscellaneous Expenditure (L9),PRIMARY CARE IT,BARNSLEY HEALTHCARE FEDERATION,22350123,"127,632.91"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),22110315,"39,973.58"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),22110315,28.84
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),22110315,"11,654.20"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),22110315,"4,158.04"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS LES Medicine Management,COMMISSIONING SCHEMES,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),22350127,"26,692.15"
Department of Health,NHS Barnsley CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22209177,"1,311.00"
Department of Health,NHS Barnsley CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22043250,"270,572.00"
Department of Health,NHS Barnsley CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22043250,"11,398,649.00"
Department of Health,NHS Barnsley CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22043247,"10,847.00"
Department of Health,NHS Barnsley CCG,31/05/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22043247,"562,297.00"
Department of Health,NHS Barnsley CCG,31/05/2018,Services From Local Authorities,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,BARNSLEY METROPOLITAN BOROUGH COUNCIL,22304400,"29,622.00"
Department of Health,NHS Barnsley CCG,31/05/2018,Services From Local Authorities,COMMISSIONING - NON ACUTE,BARNSLEY METROPOLITAN BOROUGH COUNCIL,21998329,"100,000.00"
Department of Health,NHS Barnsley CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22155953,"-46,550.45"
Department of Health,NHS Barnsley CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22155956,"34,887.30"
Department of Health,NHS Barnsley CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22116236,"34,887.30"
Department of Health,NHS Barnsley CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22350138,"-26,958.48"
Department of Health,NHS Barnsley CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22350137,"34,887.30"
Department of Health,NHS Barnsley CCG,31/05/2018,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,CHILDREN & YOUNG PEOPLES EMPOWERMENT PROJECT LTD,22137492,"39,575.00"
Department of Health,NHS Barnsley CCG,31/05/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,22116186,"53,719.00"
Department of Health,NHS Barnsley CCG,31/05/2018,Soc Care-Bed-Based Int Care Servs,INTERMEDIATE CARE,CROWN CARE (IV) LTD,22383465,"25,928.57"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365836,"82,638.20"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365836,"25,297.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365836,"7,981.53"
Department of Health,NHS Barnsley CCG,31/05/2018,Prescribing Incentives,COMMISSIONING SCHEMES,NHS BARNSLEY CCG GP PRACTICE,22155944,"57,984.95"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104817,"43,097.67"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104817,"1,321.22"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104817,26.52
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104817,"4,815.21"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104817,"3,886.85"
Department of Health,NHS Barnsley CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,21939202,"6,917.00"
Department of Health,NHS Barnsley CCG,30/04/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,21939202,"527,283.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104787,"87,871.50"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104787,"2,131.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104787,22.60
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104787,"20,733.65"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104787,"1,987.50"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104787,0.90
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104787,"10,374.08"
Department of Health,NHS Barnsley CCG,31/05/2018,Prescribing Incentives,COMMISSIONING SCHEMES,NHS BARNSLEY CCG GP PRACTICE,22155946,"62,741.90"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104791,"51,962.33"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104791,980.26
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104791,"21,355.85"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104791,"5,139.74"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365838,"74,135.25"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365838,"4,558.08"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365838,"1,092.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365838,"7,953.33"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365840,"91,635.69"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365840,"3,062.89"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365840,"1,572.92"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365840,"1,286.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365840,63.99
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365840,"9,471.17"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104794,-567.78
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104794,"-6,174.54"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104794,-99.31
Department of Health,NHS Barnsley CCG,31/05/2018,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104794,-610.96
Department of Health,NHS Barnsley CCG,31/05/2018,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104794,"-14,526.79"
Department of Health,NHS Barnsley CCG,31/05/2018,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104794,"-15,370.39"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104795,"130,338.41"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104795,"8,055.18"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104795,"6,333.33"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104795,135.35
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104795,"13,531.04"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS BARNSLEY CCG GP PRACTICE,22396921,"-65,597.24"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22396921,"-4,721.40"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS BARNSLEY CCG GP PRACTICE,22396922,"139,526.61"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22396922,"22,593.18"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS BARNSLEY CCG GP PRACTICE,22396922,"4,721.40"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22364348,"21,769.88"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22364348,404.79
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22364348,"1,433.88"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22364348,"2,173.13"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365842,596.68
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365842,"40,171.29"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365842,"1,562.50"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365842,"2,020.09"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365842,"3,963.16"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104793,"38,280.74"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104793,554.06
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104793,"2,930.13"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104793,"8,600.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104793,"1,487.66"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104793,"2,399.58"
Department of Health,NHS Barnsley CCG,31/05/2018,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104793,"1,873.65"
Department of Health,NHS Barnsley CCG,31/05/2018,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104793,891.58
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS LES Medicine Management,COMMISSIONING SCHEMES,NHS BARNSLEY CCG GP PRACTICE,21998465,"26,456.25"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365848,"107,497.76"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365848,"6,333.33"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365848,352.70
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365848,"11,289.06"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS LES Medicine Management,COMMISSIONING SCHEMES,NHS BARNSLEY CCG GP PRACTICE,22137497,"67,452.15"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365844,"95,252.68"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365844,"27,000.00"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365844,"5,556.40"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365844,359.20
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365844,"9,725.72"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365846,"93,422.79"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365846,"33,280.78"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365846,"8,618.60"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS LES Medicine Management,COMMISSIONING SCHEMES,NHS BARNSLEY CCG GP PRACTICE,22137473,"55,790.60"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365850,"2,344.10"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365850,"79,997.14"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22365850,"10,371.04"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104797,"139,416.21"
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104797,700.00
Department of Health,NHS Barnsley CCG,31/05/2018,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22104797,"6,691.34"
