"ID","SUPPLIER_STANDARD_NAME","Invoices","Spending"
978,"YORKSHIRE AMBULANCE SERVICE NHS TRUST CHARITIES",1,30000
979,"AGE CONCERN HILLINGDON",1,29858.13
980,"THE OAKLEA TRUST",1,29815.01
981,"RELATE",1,29800
982,"ARTS FOR RECOVERY IN THE COMMUNITY",1,29795
983,"EMBRACE ALL CIC",1,29504.36
984,"BROOK YOUNG PEOPLE",1,29500
985,"NO.5 YOUNG PEOPLE",1,29345
986,"MAUNDY RELIEF",1,29068
987,"SANCTUARY HOME CARE LIMITED",1,28928.56
988,"THE ROYAL BRITISH LEGION",1,28608.29
989,"SEFTON WOMEN'S & CHILDREN'S AID",1,28533.96
990,"IDEAL FOR ALL LIMITED",1,28438.59
991,"RIBBLE VALLEY CROSSROADS",1,28293.93
992,"CHILD ACTION NORTHWEST",1,28254
993,"AURORA WELLBEING CENTRES",1,28000
994,"BOLTON AT HOME LIMITED",1,28000
995,"NATIONAL SCHIZOPHRENIA FELLOWSHIP",1,27999.6
996,"ANCHOR TRUST",1,27881.95
997,"CRAWLEY COMMUNITY ACTION",1,27747
998,"DELPHSIDE LTD",1,27713.37
999,"VISTA",1,27627.43
1000,"CROSSROADS CARE CHESHIRE, MANCHESTER & MERSEYSIDE LIMITED",1,27535.47
1001,"THE ROYAL NAVAL BENEVOLENT SOCIETY FOR OFFICERS",1,27521.28
1002,"RELATE COVENTRY & WARWICKSHIRE",1,27477
1003,"PETERBOROUGH COUNCIL FOR VOLUNTARY SERVICE",1,27421.24
1004,"NEW PROGRESS HOUSING ASSOCIATION LIMITED",1,27153.6
1005,"YOUR HOUSING GROUP LIMITED",1,27080.89
1006,"SURREY CARE ASSOCIATION LIMITED",1,27000
1007,"ADHD SOLUTIONS COMMUNITY INTEREST COMPANY",1,26822
1008,"INSPIRE CORNWALL CIC",1,26800
1009,"SEFTON COUNCIL FOR VOLUNTARY SERVICE",1,26614.39
1010,"HONEYWOOD HOUSE NURSING HOME",1,26607.06
1011,"PORTLAND COLLEGE",1,26551.66
1012,"HARTLEPOOL CARERS",1,26477
1013,"XPERT HEALTH TRAINING AND EDUCATION LTD",1,26402.88
1014,"SHOOTING STAR CHILDREN'S HOSPICES",1,26240
1015,"ABBEYFIELD BUCKINGHAMSHIRE SOCIETYLIMITED (THE)",1,26119.42
1016,"THE ASSOCIATION FOR YOUNG PEOPLE'S HEALTH",1,26100
1017,"CANTERBURY CHRIST CHURCH UNIVERSITY COLLEGE",1,26000
1018,"COMMUNITY COUNSELLING (NORTH YORKSHIRE) LIMITED",1,25929
1019,"ST VINCENTS NURSING HOME",1,25915.6
1020,"NUGENT CARE",1,25800
1021,"THE FOUNTAIN CENTRE",1,25765
1022,"RICHMOND BOROUGH MIND",1,25754
1023,"CANCER RESEARCH UK",1,25599.6
1024,"DEAFLINK NORTH EAST",1,25565
1025,"MACMILLAN CANCER SUPPORT",1,25561.52
1026,"BERKSHIRE AUTISTIC SOCIETY",1,25510
1027,"SERVOL COMMUNITY TRUST",1,25484
1028,"ST JOSEPH'S HOSPICE ASSOCIATION",1,25374.8
1029,"UNITED RESPONSE",1,25246.53
1030,"THE LAURA CENTRE",1,25243
1031,"RELATE EXETER & DISTRICT",1,25118
1032,"BEYOND PSYCHOLOGY LTD",1,25000
1033,"AGE UK TRAFFORD",1,25000
1034,"CHIL PLYMOUTH LTD",1,25000
1035,"CRUSE BEREAVEMENT SUPPORT",1,25000
1036,"EALING CVS",1,25000
1037,"KIDS HEALTH MATTERS CIC",1,25000
1038,"M6 THEATRE COMPANY LIMITED",1,25000
1039,"MAGGIE KESWICK JENCKS CANCER CARING CENTRES TRUST ENGLAND",1,25000
1040,"NATIONAL CHILDREN'S BUREAU",1,25000
1041,"PENHALIGON'S FRIENDS",1,25000
1042,"RESPECT FOR ALL",1,25000
1043,"SPRINGBOARD OPPORTUNITY GROUP",1,25000
1044,"ST JOSEPH'S FAMILY CENTRE",1,25000
1045,"STUDENT LIFE (SUFFOLK) CIC",1,25000
1046,"SUNDERLAND PEOPLE FIRST CO-OPERATIVE COMMUNITY INTEREST COMPANY",1,25000
1047,"WEST LANCASHIRE CRISIS AND INFORMATION CENTRE",1,25000
1048,"WEST NORFOLK MIND",1,25000
1049,"YELLOW DOOR",1,25000
1050,"YMCA EAST SURREY",1,25000
1051,"YORK ROAD PROJECT",1,25000
